date,volume,open,high,low,close,adjclose
2019-09-27,6006500,128.61000061035156,129.39999389648438,126.69999694824219,128.60000610351562,126.03226470947266
2019-09-26,7545800,131.08999633789062,131.30999755859375,128.02999877929688,128.85000610351562,126.27728271484375
2019-09-25,4522900,131.5,131.57000732421875,130.22999572753906,130.99000549316406,128.37454223632812
2019-09-24,7102600,132.10000610351562,132.77999877929688,131.33999633789062,131.5500030517578,128.92335510253906
2019-09-23,5183700,131.02000427246094,132.0500030517578,130.49000549316406,131.74000549316406,129.10955810546875
2019-09-20,12053100,131,132,130.2899932861328,131.64999389648438,129.0213623046875
2019-09-19,4730100,129.6300048828125,131.19000244140625,129.36000061035156,130.11000061035156,127.5121078491211
2019-09-18,4373600,129.89999389648438,130.55999755859375,128.77999877929688,130.41000366210938,127.80612182617188
2019-09-17,4976400,129.60000610351562,130.5,129.11000061035156,129.6699981689453,127.08088684082031
2019-09-16,5101700,130.11000061035156,130.75,129.3300018310547,129.5399932861328,126.95347595214844
2019-09-13,5369800,131.3300018310547,131.57000732421875,129.9600067138672,130.77999877929688,128.16873168945312
2019-09-12,5250000,131.36000061035156,131.77000427246094,130.05999755859375,130.42999267578125,127.82569885253906
2019-09-11,6203600,129.86000061035156,131.27999877929688,129.0800018310547,131.1699981689453,128.55093383789062
2019-09-10,8239500,127.33999633789062,129.5500030517578,126.33999633789062,129.5500030517578,126.96328735351562
2019-09-09,7684700,128,128.16000366210938,126.58999633789062,126.94999694824219,124.41519165039062
2019-09-06,6758300,128.8800048828125,129.22999572753906,128.07000732421875,128.2100067138672,125.65005493164062
2019-09-05,4754100,129.89999389648438,129.89999389648438,128.30999755859375,128.5800018310547,126.01265716552734
2019-09-04,4807200,129.49000549316406,129.58999633789062,128.0800018310547,128.86000061035156,126.28706359863281
2019-09-03,5710200,127.98999786376953,128.97999572753906,127.51000213623047,128.74000549316406,126.16946411132812
2019-08-30,7371100,128.27000427246094,129.10000610351562,127.62000274658203,128.36000061035156,125.79705047607422
2019-08-29,6749900,128.83999633789062,129.1999969482422,126.83000183105469,128.24000549316406,125.67945098876953
2019-08-28,9878800,127.86000061035156,128.8699951171875,127.01000213623047,128.67999267578125,126.11064910888672
2019-08-27,20183800,129.8800048828125,132.39999389648438,129.10000610351562,129.63999938964844,127.05148315429688
2019-08-26,8889500,127.41999816894531,128.0800018310547,126.62999725341797,127.80000305175781,125.24823760986328
2019-08-23,15714000,131.07000732421875,131.25999450683594,127.12999725341797,127.7300033569336,124.24859619140625
2019-08-22,7213500,131.60000610351562,132.1300048828125,130.8000030517578,131.27000427246094,127.69210052490234
2019-08-21,6912800,131.6999969482422,132.41000366210938,130.85000610351562,131.52999877929688,127.94501495361328
2019-08-20,7302000,131.9600067138672,132.66000366210938,130.4600067138672,130.60000610351562,127.04037475585938
2019-08-19,4958000,132.5,132.57000732421875,131.82000732421875,132.25,128.6453857421875
2019-08-16,5858900,131.47000122070312,131.6699981689453,130.60000610351562,131.36000061035156,127.77964782714844
2019-08-15,7251200,130.1699981689453,131.07000732421875,129.25,130.5399932861328,126.98199462890625
2019-08-14,7736200,132.52999877929688,132.5399932861328,130.1300048828125,130.25999450683594,126.7096176147461
2019-08-13,5013200,132.3000030517578,134.10000610351562,132,133.4199981689453,129.7834930419922
2019-08-12,5567600,131.5,132.6999969482422,131.2899932861328,131.92999267578125,128.3341064453125
2019-08-09,4677300,131.8000030517578,132.75999450683594,131.22999572753906,132.0399932861328,128.4411163330078
2019-08-08,5260500,130.97999572753906,131.9499969482422,130.22999572753906,131.67999267578125,128.09091186523438
2019-08-07,6771700,129.36000061035156,130.91000366210938,128.19000244140625,130.2100067138672,126.6610107421875
2019-08-06,7880600,130.33999633789062,131.22000122070312,129.58999633789062,130.77000427246094,127.20574188232422
2019-08-05,9480000,130.91000366210938,131.4600067138672,129.00999450683594,130.16000366210938,126.61236572265625
2019-08-02,6574900,130.86000061035156,131.47000122070312,129.77000427246094,131.07000732421875,127.49755859375
2019-08-01,7870700,130.25999450683594,130.74000549316406,129.02000427246094,130.2899932861328,126.73881530761719
2019-07-31,8559200,131.63999938964844,132,130.17999267578125,130.22000122070312,126.67073059082031
2019-07-30,5509600,132.47000122070312,132.49000549316406,131.27000427246094,132.0800018310547,128.4800262451172
2019-07-29,7832000,131,133.30999755859375,130.2100067138672,133.02000427246094,129.3944091796875
2019-07-26,4894600,131.3000030517578,131.3000030517578,130.49000549316406,130.72999572753906,127.16682434082031
2019-07-25,8897800,130.05999755859375,131.52999877929688,129.6699981689453,131.1199951171875,127.54618835449219
2019-07-24,6838600,128.8800048828125,129.7899932861328,128.57000732421875,129.77999877929688,126.24270629882812
2019-07-23,5803600,128.61000061035156,129.4499969482422,128.16000366210938,128.83999633789062,125.32833099365234
2019-07-22,12624800,130,130.14999389648438,127.83999633789062,128.63999938964844,125.1337890625
2019-07-19,8340200,132.25,132.38999938964844,130.19000244140625,130.30999755859375,126.7582778930664
2019-07-18,6203700,132.1300048828125,132.50999450683594,131.1699981689453,132.07000732421875,128.47030639648438
2019-07-17,8862100,132.49000549316406,133.5800018310547,131.41000366210938,131.86000061035156,128.2660369873047
2019-07-16,10214500,132.92999267578125,133.8300018310547,131.75,132.5,128.88858032226562
2019-07-15,10038200,135.38999938964844,136.36000061035156,134.4499969482422,134.7100067138672,131.03834533691406
2019-07-12,17780100,140.1199951171875,140.1199951171875,132.32000732421875,134.3000030517578,130.6395263671875
2019-07-11,5817400,140.94000244140625,141.2100067138672,139.02000427246094,140.11000061035156,136.29116821289062
2019-07-10,4874400,141.77999877929688,141.99000549316406,140.6699981689453,141.2100067138672,137.36119079589844
2019-07-09,4217400,141.4600067138672,142.47000122070312,140.91000366210938,141.41000366210938,137.55575561523438
2019-07-08,4078100,140.1199951171875,141.0800018310547,139.63999938964844,140.97000122070312,137.1277313232422
2019-07-05,4652400,141.74000549316406,141.86000061035156,140.3699951171875,140.57000732421875,136.73863220214844
2019-07-03,3436300,141,142.17999267578125,140.7899932861328,142.13999938964844,138.26583862304688
2019-07-02,4501200,139.22000122070312,140.02999877929688,138.69000244140625,140.02999877929688,136.2133331298828
2019-07-01,5872300,140.1999969482422,140.25999450683594,138.72000122070312,139.36000061035156,135.56161499023438
2019-06-28,12792400,140.74000549316406,141.10000610351562,138.50999450683594,139.27999877929688,135.48379516601562
2019-06-27,5233500,142.22999572753906,142.5,140.60000610351562,140.69000244140625,136.85536193847656
2019-06-26,7674100,143.85000610351562,143.85000610351562,140.75999450683594,141.85000610351562,137.98373413085938
2019-06-25,7517000,143.27000427246094,144.97999572753906,143.19000244140625,144.24000549316406,140.30859375
2019-06-24,5894700,142.4199981689453,143.6999969482422,142.08999633789062,143.05999755859375,139.16075134277344
2019-06-21,11272200,141.4600067138672,142.42999267578125,141.00999450683594,142.08999633789062,138.21717834472656
2019-06-20,7335800,141.25,142.39999389648438,141,142.2100067138672,138.3339385986328
2019-06-19,6393400,140.00999450683594,140.97000122070312,139.91000366210938,140.4499969482422,136.6219024658203
2019-06-18,7122700,140.55999755859375,140.92999267578125,139.7899932861328,140.22999572753906,136.40789794921875
2019-06-17,5562800,140,140.24000549316406,139.2100067138672,139.44000244140625,135.63943481445312
2019-06-14,6548100,141.22999572753906,141.49000549316406,140.0399932861328,140.08999633789062,136.27171325683594
2019-06-13,7500800,141.72000122070312,141.9499969482422,140.2100067138672,140.7100067138672,136.87481689453125
